"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Ja\WebstormProjects\PimpMyPc\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"c:\Users\Ja\WebstormProjects\PimpMyPc\angular.json", "JSON", 169, 0, 0, 0, 0, 0, 0, 0, 8, 1, 178
"c:\Users\Ja\WebstormProjects\PimpMyPc\e2e\protractor.conf.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 6, 2, 37
"c:\Users\Ja\WebstormProjects\PimpMyPc\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\Ja\WebstormProjects\PimpMyPc\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Ja\WebstormProjects\PimpMyPc\e2e\tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\Ja\WebstormProjects\PimpMyPc\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 6, 2, 45
"c:\Users\Ja\WebstormProjects\PimpMyPc\package-lock.json", "JSON", 25211, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25212
"c:\Users\Ja\WebstormProjects\PimpMyPc\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\account-routing.module.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\account-settings\account-settings.component.html", "HTML", 0, 0, 0, 0, 0, 198, 0, 0, 1, 27, 226
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\account-settings\account-settings.component.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 16, 114
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\account.component.html", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 10, 54
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\account.component.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\account.module.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\my-orders\my-orders.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 7, 31
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\my-orders\my-orders.component.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\order-details\order-details.component.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 10, 49
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\account\order-details\order-details.component.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 2, 4, 35
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\build-pc\build-pc.component.html", "HTML", 0, 0, 0, 0, 0, 133, 0, 0, 0, 19, 152
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\build-pc\build-pc.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\build-pc\build-pc.component.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 2, 16, 110
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\core\core.module.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
